decade,decade_label,feature,variance,std,iqr,cv,mean,track_count
1995,1995s,loudness,17.45383256893994,4.177778425065162,4.934,-0.4333969897379506,-9.639611081727208,47267
1995,1995s,speechiness,0.02944855345857509,0.1716058083474306,0.036699999999999997,1.7377992324174139,0.09874892631222629,47267
1995,1995s,tempo,896.2777575281069,29.9378983485499,41.9165,0.2504735160014629,119.52520500560645,47267
1995,1995s,valence,0.06767977828259705,0.2601533745362475,0.43600000000000005,0.4597934253672492,0.5658049032094273,47267
2000,2000s,acousticness,0.08901280638697238,0.29835014058480414,0.5076,0.9333474483721731,0.3196560306723384,33852
2000,2000s,danceability,0.02522086029995042,0.15881076884125464,0.21399999999999997,0.269415677767247,0.5894637244475954,33852
2000,2000s,energy,0.050438131726550935,0.22458435325407453,0.346,0.353167091263181,0.6359152899858206,33852
2000,2000s,instrumentalness,0.03554970230257137,0.18854628689680253,0.000592,3.4246739228810554,0.055055252307987704,33852
2000,2000s,liveness,0.03635911049289954,0.19068065054666544,0.17950000000000002,0.8973611508630409,0.21249042301784238,33852
2000,2000s,loudness,14.096896897144681,3.7545834518818038,4.140999999999999,-0.4749070773654302,-7.905932825239278,33852
2000,2000s,speechiness,0.014442226709317198,0.12017581582546963,0.0384,1.4709291026145608,0.08170061739335933,33852
2000,2000s,tempo,885.2611708874872,29.753338819155864,42.53375,0.24680145398680642,120.55576796053408,33852
2000,2000s,valence,0.06462502867946633,0.2542145327857287,0.42500000000000004,0.4507175909634666,0.5640217685808814,33852
2005,2005s,acousticness,0.08824215054354041,0.2970558037533359,0.4999,0.965277964799726,0.3077412046953423,40127
2005,2005s,danceability,0.024315947664506975,0.15593571644914123,0.21399999999999997,0.2639267852524074,0.5908294465073392,40127
2005,2005s,energy,0.04752117516041212,0.21799352091383845,0.32399999999999995,0.3307096188433213,0.6591689763251676,40127
2005,2005s,instrumentalness,0.03607180867160607,0.1899257978043164,0.000477,3.420821927546671,0.05552051577865279,40127
2005,2005s,liveness,0.03445624957521902,0.185623946664268,0.17120000000000002,0.8899682204749126,0.20857367981658237,40127
2005,2005s,loudness,12.404238166528815,3.5219651001293037,3.6919999999999993,-0.4861895002628574,-7.244017195404591,40127
2005,2005s,speechiness,0.011715368115083708,0.10823755408860507,0.0385,1.3826665024349696,0.07828175044234556,40127
2005,2005s,tempo,849.6342730717721,29.148486634330986,41.850999999999985,0.2387563542787849,122.08465287711518,40127
2005,2005s,valence,0.06345137253377763,0.251895558781368,0.42100000000000004,0.4483089100527821,0.5618794387818676,40127
2010,2010s,acousticness,0.08979170810707313,0.2996526457535009,0.4815,1.0390064599321733,0.28840306322355524,47429
